samp_id,sc_id,mc_id,day,treatment,mc_round,age,final_fecal_volume_mL,gene_count_per_microlitre_feces,qpcr_complete,genecount_1µL_qpcr,genecount_total_predf,genecount_total,total_seq,Enterobacteriaceae_ng,Enterococcus,Pseudomonas,Paenibacillus,Cellulosimicrobium,Stenotrophomonas,Bombilactobacillus,Priestia,Mixta,Lactobacillus,Rhizobium,Delftia,Bifidobacterium,Snodgrassella,Sphingomonas,Lysinibacillus,Curtobacterium,Roseomonas,Sphingobacterium,Paracoccus,Comamonadaceae_ng,Apilactobacillus,Dermacoccus,Schmidhempelia,Bombiscardovia,Schmidhempelia,Stenotrophomonas,Rhodococcus,Delftia,Dermacoccus,Methylorubrum,Meiothermus,Stenotrophomonas,Roseomonas,Acinetobacter,Commensalibacter,Arsenophonus,Comamonas,Klebsiella,Enterococcus,Acetobacter,Sphingobium,Brevundimonas,Lachnoclostridium,Leucobacter
M18D3,1,18,3,10 ng/mL,2,3,0.101420176,1016228.887,yes,137421.4834,6871074.171,103066112.6,28516,0,0,0,0,0,0,2022215.258,0,0,8997886.221,0,0,4533645.232,4391405.753,0,0,0,0,0,0,0,0,0,0,1659797.644,3679383.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M18D5,1,18,5,10 ng/mL,2,3,0.127830737,721246.1059,yes,122929.895,6146494.751,92197421.27,22696,0,0,0,0,0,0,1317193.072,0,0,6976917.627,0,0,3581634.533,4698022.447,0,0,0,0,0,0,0,0,0,0,1579580.353,4655368.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M18D8,1,18,8,10 ng/mL,2,3,0.129024225,468759.8451,yes,80641.83431,4032091.715,60481375.73,25813,0,0,0,0,0,0,2620125.457,3146.287984,0,3222428.945,0,0,1315068.093,3735421.425,0,0,0,0,0,0,0,0,0,0,1114209.916,3095766.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M19D0,1,19,0,100 ng/mL,2,3,0.109654273,643143.0874,yes,94031.18357,4701559.178,70523387.68,22594,0,0,0,0,0,0,1699565.581,0,0,4520794.212,0,0,2542995.551,5359328,0,0,0,0,0,0,0,0,0,0,1294080.374,2208342.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M19D14,1,19,14,100 ng/mL,2,3,0.066188548,1746738.777,yes,154152.1378,7707606.892,115614103.4,29986,0,0,0,0,0,0,1087279.973,0,0,9214573.19,0,0,2051690.101,3731259.539,0,0,0,0,0,0,0,0,0,0,1603467.382,10247228.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M19D3,1,19,3,100 ng/mL,2,3,0.144471744,356274.4056,yes,68628.77963,3431438.981,51471584.72,24587,0,0,0,0,0,0,1608290.761,0,0,3822910.165,0,0,1745167.93,1719243.463,0,0,0,0,0,0,0,0,0,0,665770.1033,1899803.273,274915.3249,0,0,0,0,0,1048528.259,0,2187.181281,0,0,0,0,0,0,0,0,0,0
M19D5,1,19,5,100 ng/mL,2,3,0.007731272,17945245.04,yes,184986.094,9249304.702,138739570.5,27040,4205.656953,0,0,0,0,0,1.84E+06,0,0,9095208.773,0,0,3677916.27,7747660.926,0,0,0,0,0,0,0,0,0,0,3353803.681,8749469.397,54552.67821,0,0,0,0,0,265391.456,0,0,0,0,0,0,0,0,0,0,0,0
M19D8,1,19,8,100 ng/mL,2,3,0.085944218,21366.97225,yes,2448.490295,122424.5147,1836367.721,19180,568.9695629,0,118.831225,0,0,0,19124.84107,0,0,123127.4242,0,0,24410.37785,84517.91491,0,0,0,0,0,0,0,153.1901626,0,0,31599.59154,161902.9102,715.3280227,0,0,0,0,2920.188278,2283.54648,0,0,0,87.04007378,0,0,0,0,0,0,0,0
M1D0,1,1,0,Control,1,1,0.2388904,462448.1247,yes,147299.2234,7364961.169,110474417.5,22504,4023.849553,0,0,0,0,0,3112370.273,0,0,9390929.122,0,0,4427036.457,1435912.149,0,0,0,0,0,0,0,0,0,0,1740308.051,6956196.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1D14,1,1,14,Control,1,1,0.224173394,776999.9525,yes,232243.6221,11612181.1,174182716.5,21018,0,0,0,0,0,0,4058710.905,0,0,13252877.82,0,0,6998174.258,4607745.279,0,0,0,0,0,0,0,0,0,0,3795090.785,10740355.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
