samp_id,sc_id,mc_id,day,treatment,mc_round,age,final_fecal_volume_mL,gene_count_per_microlitre_feces,qpcr_complete,genecount_1µL_qpcr,genecount_total_predf,genecount_total,total_seq
M41D14,4,41,14,800 ng/mL,3,1,0.076016358,1569927.477,yes,159120.2254,7956011.27,119340169.1,10191
M41D3,4,41,3,800 ng/mL,3,1,0.130926019,3032457.35,yes,529370.0915,26468504.58,397027568.6,27968
M41D5,4,41,5,800 ng/mL,3,1,0.113194967,582724.3672,yes,87948.62068,4397431.034,65961465.51,29154
M41D8,4,41,8,800 ng/mL,3,1,0.130890607,725214.7326,yes,126565.0621,6328253.103,94923796.55,19284
M43D0,3,43,0,Control,4,3,0.146021384,403932.2743,yes,78643.66631,3932183.315,58982749.73,30178
M43D14,3,43,14,Control,4,3,0.199621411,250608.9654,yes,66702.55373,3335127.686,50026915.29,23968
M43D3,3,43,3,Control,4,3,0.124616086,550281.7777,yes,91431.94845,4571597.423,68573961.34,30372
M43D5,3,43,5,Control,4,3,0.128632528,1145705.295,yes,196499.9578,9824997.891,147374968.4,21774
M43D8,3,43,8,Control,4,3,0.177707752,713802.8109,yes,169131.0572,8456552.861,126848292.9,18737
M43FECAL,3,43,Gut,Control,4,3,,,yes,66702.55373,3335127.686,50026915.29,23968
M43GUT,3,43,Gut,Control,,,,,yes,252651.4217,25265142.17,3789771326,24931
M44D0,3,44,0,DMSO,4,3,0.233004823,252611.9743,yes,78479.74448,3923987.224,58859808.36,26393
M44D14,3,44,14,DMSO,4,3,0.246444555,843883.2272,yes,277293.9019,13864695.1,207970426.4,31416
M44D3,3,44,3,DMSO,4,3,0.110579424,341587.4794,yes,50363.39562,2518169.781,37772546.72,23634
M44D5,3,44,5,DMSO,4,3,0.144378508,706865.632,yes,136074.9404,6803747.02,102056205.3,30533
M44D8,3,44,8,DMSO,4,3,0.164135266,1361589.924,yes,297979.899,14898994.95,223484924.3,18270
M45D0,3,45,0,1 ng/mL,4,3,0.119949075,892031.4008,yes,142664.4552,7133222.76,106998341.4,21977
M45D14,3,45,14,1 ng/mL,4,3,0.167737737,994397.0956,yes,222397.2246,11119861.23,166797918.5,26556
M45D3,3,45,3,1 ng/mL,4,3,0.16498391,583392.9624,yes,128333.936,6416696.8,96250452,22756
