sample,sc_id,mc_id,day,treatment,mc_round,age,total_seq, Enterobacteriaceae_ng, Enterococcus, Pseudomonas, Paenibacillus, Cellulosimicrobium, Enterobacteriaceae_ng, Enterobacteriaceae_ng, Enterococcus, Stenotrophomonas, Enterobacteriaceae_ng, Bombilactobacillus, Priestia, Pseudomonas, Mixta, Enterobacteriaceae_ng, Lactobacillus, Enterobacteriaceae_ng, Enterococcus, Lactobacillus, Rhizobium, Delftia, Bifidobacterium, Snodgrassella, Sphingomonas, Bombilactobacillus, Bifidobacterium, Lysinibacillus, Bifidobacterium, Curtobacterium, Lactobacillus, Roseomonas, Lactobacillus, Sphingobacterium, Paracoccus, Comamonadaceae_ng, Apilactobacillus, Pseudomonas, Dermacoccus, Schmidhempelia, Bombiscardovia, Schmidhempelia, Stenotrophomonas, Lactobacillus, Rhodococcus, Delftia, Bifidobacterium, Lactobacillus, Dermacoccus, Pseudomonas, Methylorubrum, Meiothermus, Enterobacteriaceae_ng, Pseudomonas, Stenotrophomonas, Roseomonas, Acinetobacter, Commensalibacter, Snodgrassella, Arsenophonus, Comamonas, Klebsiella, Enterococcus, Acetobacter, Bifidobacterium, Sphingobium, Bombilactobacillus, Paenibacillus, Brevundimonas, Paenibacillus, Lachnoclostridium, Lactobacillus, Leucobacter, Paenibacillus, Bombilactobacillus, Lactobacillus
M10D3,2,10,3,1 ppb,1,1,27524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004069176,0.07404447,0,0,0.178680424,0,0,0,0,0,0,0,0,0,0,0.193249528,0,0,0,0,0,0,0,0,0,0,0.17464758,0,0,0,0,0,0.048902776,0,0,0,0,0,0,0,0,0.075643075,0,0,0,0,0,0,0,0.039856126,0,0.210906845,0,0,0,0,0,0,0,0,0
M10D5,2,10,5,1 ppb,1,1,36042,0,0,0,0,0,0,0,0,0,0,0,0,5.55E-05,0,0.003412685,0.004356029,0,0,0.019560513,0,0,0,0,0,0,0,0,0,0,0.011153654,0,0,0,0,0,0,0,0,0,0,0.006298208,0,0,0,0,0,0.005854281,0,0,0,0,0,0,0,0,0.929471173,0,0,0,0,0,0,0,0.003273958,0,0.016564009,0,0,0,0,0,0,0,0,0
M10D8,2,10,8,1 ppb,1,1,28100,0.001957295,0.000782918,0,0.000533808,0,0,0.013985765,0,0,0,0,0,0.032989324,0,0.003451957,0.01088968,0,0,0.055124555,0,0,0,0,0,0,0,0,0,0,0.184946619,0,0,0,0,0,0,0,0,0,0,0.149288256,0.010711744,0,0,0,0,0.103807829,0,0,0,0.000177936,0,0,0.038362989,0,0.275302491,0,0,0,0,0,0,0,0.01658363,0,0.101103203,0,0,0,0,0,0,0,0,0
M11D0,2,11,0,10 ppb,1,1,21224,0,0,0,0,0,0,0.000282699,0,0,0,0,0,0,0,0,0.040849981,0,0,0.26936487,0,0,0,0,0,0,0,0,0,0,0.210375047,0,0,0,0,0,0,0,0,0,0,0.289907652,0,0,0,0,0,0.064973615,0,0,0,0,0,0,0,0,9.42E-05,0,0,0,0,0,0,0,0.029023747,0,0.095128157,0,0,0,0,0,0,0,0,0
M11D14,2,11,14,10 ppb,1,1,20556,0,0.007345787,0,0,0,0,0.280112862,0,0,0,0,0,0.078663164,0.005837712,0,0.00141078,0.035950574,0,0.033712785,0,0,0,0,0,0,0,0,0,0,0.01396186,0,0,0,0,0,0,0.248005449,0,0,0,0.008951158,0.012842966,0,0,0,0,0.020675229,0,0.04290718,0,0,0,0,0.050593501,0,0.113348901,0,0,0,0,0,0,0,0.006178245,0,0.039501849,0,0,0,0,0,0,0,0,0
M11D3,2,11,3,10 ppb,1,1,20504,0,0.000634023,0,0,0,0,0.003072571,0,0,0,0,0,0,0,0,0.059890753,0,0,0.156359735,0,0,0,0.000243855,0,0,0,0,0,0,0.269362076,0,0.001463129,0,0,0,0,0.000243855,0,0,0,0.271751853,0,0,0,0,0,0.052331252,0,0,0,0,0,0,0.000780336,0,0.019215763,0,0,0,0,0,0,0,0.030579399,0,0.134071401,0,0,0,0,0,0,0,0,0
M11D5,2,11,5,10 ppb,1,1,23128,0,0,0,0,0,0,0.004842615,0,0,0,0,0,0,0,0,0.033725355,0,0,0.217744725,0,0,0,0,0,0,0,0,0,0,0.201098236,0,0,0,0,0,0,0,0,0,0,0.230975441,0,0,0,0,0,0.111466621,0,0,0,0,0,0,0,0,0.011976825,0,0,0,0,0,0,0,0.031304047,0,0.156866136,0,0,0,0,0,0,0,0,0
M11D8,2,11,8,10 ppb,1,1,22354,0.003891921,0.004249799,0,0,0,0,0.059944529,0,0,0,0,0,0.155095285,0.002863022,0,0.007023352,0.004384003,0,0.073007068,0,0,0,0,0,0,0,0,0,0,0.033685246,0,0.000402613,0,0,0,0,0.045495213,0,0,0,0.028272345,0.015836092,0,0,0,0,0.038874474,0,0.007828577,0,0,0,0,0.0590051,0,0.385926456,0,0,0,0,0,0,0,0.010333721,0,0.063881185,0,0,0,0,0,0,0,0,0
M12D0,2,12,0,100 ppb,1,1,25754,0,0,0,0,0,0,0.000232974,0,0,0,0,0,0,0,0,0.079676943,0,0,0.118661179,0,0,0,0,0,0,0,0,0,0,0.300807642,0,0,0,0,0,0,0,0,0,0,0.18439854,0,0,0,0,0,0.048303176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059369418,0,0.208550128,0,0,0,0,0,0,0,0,0
M12D14,2,12,14,100 ppb,1,1,28957,0.006975861,0.002900853,0.003556998,0.001450426,0,0,0.077459682,0,0.001139621,0.00165763,0,0,0.271816832,0,0,0.006906793,0,0,0.035466381,0.000138136,0,0,0,0,0,0,0,0,0,0.022481611,0,0.000414408,0,0,0,0,0,0,0,0,0.019926097,0.049245433,0,0,0,0.034015955,0.034879304,0,0,0,0,0,0.207756328,0.188037435,0,0.001795766,0,0,0,0,0,0,0,0.005456366,0,0.026522084,0,0,0,0,0,0,0,0,0
M12D3,2,12,3,100 ppb,1,1,21733,0,0,0,0,0,0,0.001610454,0,0,0,0,0,0,0,0,0.067501035,0,0,0.119173607,0,0,0,0,0,0,0,0,0,0,0.209036948,0,0,0,0,0,0.001150324,0,0,0,0,0.339851838,0,0,0,0,0,0.106289974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031610914,0,0.123774905,0,0,0,0,0,0,0,0,0
M12D5,2,12,5,100 ppb,1,1,28052,0,0,0.000356481,0,0,0,0.002566662,0,0,0,0,0,0,0,0,0.065948952,0,0,0.118743762,0,0,0,0,0,0,0,0,0,0,0.189255668,0,0,0,0,0,0,0,0,0,0,0.218344503,0,0,0,0,0.000677314,0.211036646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038072152,0,0.154997861,0,0,0,0,0,0,0,0,0
M12D8,2,12,8,100 ppb,1,1,27857,0.005707722,0,0.013712891,0,0,0.000394874,0.049718204,0,0.000789748,0,0,0,0.415766235,0,0,0.004235919,0,0,0.021825753,0,0,0,0,0,0,0,0,0,0,0.050041282,0,0,0,0,0,0,0,0,0,0,0.019851384,0,0,0,0,0.018379581,0.024302689,0,0,0,0,0,0.327206806,0,0,0,0,0,0,0,0,0,0,0.007789784,0,0.04027713,0,0,0,0,0,0,0,0,0
M13D0,2,13,0,800 ppb,1,1,20112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01561257,0,0,0.114260143,0,0,0,0,0,0,0,0,0,0,0.298279634,0,0,0,0,0,0,0,0,0,0,0.297086317,0,0,0,0,0,0.090145187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037340891,0,0.147275259,0,0,0,0,0,0,0,0,0
M13D14,2,13,14,800 ppb,1,1,28465,0,0.005199368,0,0.000983664,0,0,0.336729317,0,0,0,0,0,0.07089408,0.001826805,0,0.000983664,0,0,0.009801511,0,0,0,0.002002459,0,0,0,0.015141402,0,0,0.036852275,0,0,0,0,0,0,0.000702617,0,0,0.000526963,0.010644651,0.025540137,0,0,0,0.029193747,0.009977165,0,0,0,0,0,0,0.092815739,0,0.294466889,0,0,0,7.03E-05,0.024802389,0.003829264,0,0.002986123,0,0.021324434,0,0,0.002564553,0.000140523,0,0,0,0,0
M13D3,2,13,3,800 ppb,1,1,27317,0,0,0,0,0,0,0.000585716,0,0,0,0,0,0,0,0,0.020609877,0,0,0.109345829,0,0,0,0,0,0,0,0,0,0,0.300142768,0,0,0,0,0,0,0,0,0,0,0.369037596,0,0,0,0,0.029139364,0.036058132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019841125,0,0.115239594,0,0,0,0,0,0,0,0,0
